Session Window -> DummyLatencySink,50000,1,1,1,1,1108286813169654,33542.213691003635,0.0,31881.315232363253,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108296669110158,0,285242.64146921184,0,32757.713345956363
Session Window -> DummyLatencySink,50000,1,1,1,1,1108296827658067,34563.55587054902,0.0,32785.73203757949,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108306681708837,0,277862.8623337036,0,33309.70079792222
Session Window -> DummyLatencySink,50000,1,1,1,1,1108306849100633,35079.6527600984,0.0,33368.468864255796,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108316686771755,0,279015.13931168464,0,32540.5722231005
Session Window -> DummyLatencySink,50000,1,1,1,1,1108316866163040,34274.40107368156,0.0,32534.046025364485,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108326697614796,0,278730.0845434557,0,32399.479704484154
Session Window -> DummyLatencySink,50000,1,1,1,1,1108326894725097,34077.090706428586,0.0,32440.712968072752,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108336701845612,0,275082.5995382492,0,32081.18048422709
Session Window -> DummyLatencySink,50000,1,1,1,1,1108336922973539,33849.50625509176,0.0,32223.229228432425,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108346713946074,0,280823.0876391802,0,32398.461959261862
Session Window -> DummyLatencySink,50000,1,1,1,1,1108346945443105,34124.59049535761,0.0,32474.95144294336,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108356719280283,0,281587.444111355,0,32723.79914589217
Session Window -> DummyLatencySink,50000,1,1,1,1,1108356965948624,34842.875432864195,0.0,33170.07227799182,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108366722498033,0,278570.9767605209,0,32603.61648291965
Session Window -> DummyLatencySink,50000,1,1,1,1,1108366979117391,34547.01194365968,0.0,32898.17489212952,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108376724919207,0,274447.73912485264,0,32496.84883837122
Session Window -> DummyLatencySink,50000,1,1,1,1,1108377004025983,34188.36032086028,0.0,32557.92496918928,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108386728058967,0,276684.06534027104,0,32668.909497122102
Session Window -> DummyLatencySink,50000,1,1,1,1,1108387016383483,33858.73043404512,0.0,32247.578335268445,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108396736531116,0,276518.79721775965,0,32558.683440983652
Session Window -> DummyLatencySink,50000,1,1,1,1,1108397022648232,33627.65587617104,0.0,32010.324740840362,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108406749530261,0,281804.4597745373,0,32542.61251630883
Session Window -> DummyLatencySink,50000,1,1,1,1,1108407057283630,34280.18854676759,0.0,32623.195208581736,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108416760569372,0,272331.47185000713,0,32326.41044275507
Session Window -> DummyLatencySink,50000,1,1,1,1,1108417068802224,34036.932714272356,0.0,32395.026704172757,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108426773722267,0,274337.50770397607,0,32428.926984007794
Session Window -> DummyLatencySink,50000,1,1,1,1,1108427087501879,34138.08095503487,0.0,32492.784815373336,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108436778587599,0,280695.06694943894,0,32584.057657344194
Session Window -> DummyLatencySink,50000,1,1,1,1,1108437118617492,34312.23214030166,0.0,32666.147365241595,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108446790669540,0,270207.3874546855,0,32439.769424615803
Session Window -> DummyLatencySink,50000,1,1,1,1,1108447151422160,34212.29285873252,0.0,32565.036537317723,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108456796178753,0,271443.95625443937,0,32377.918069250834
Session Window -> DummyLatencySink,50000,1,1,1,1,1108457181223646,34247.644067627756,0.0,32627.083663219357,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108466800996931,0,275532.2857457723,0,32478.178927380413
Session Window -> DummyLatencySink,50000,1,1,1,1,1108467204416930,34416.5785274013,0.0,32776.21308095743,0.0
