Source: Bids Source,1,20,Source: Bids Source,0.8,40000,1,1,1,1,5258025524108032,0,40859.10422337012,0,40144.81740075903
Mapper,1,20,Mapper,0.8,40000,1,1,1,1,5258025540045724,316965.7975929117,316967.38383365393,39960.454448585384,39960.654428840055
Latency Sink,1,20,Latency Sink,0.8,40000,1,1,1,1,5258025585061003,3833286.1496452587,0.0,39833.744199499415,0.0
Source: Bids Source,1,21,Source: Bids Source,0.8,40000,1,1,1,1,5258035526144555,0,40601.02557204683,0,39780.62128052929
Mapper,1,21,Mapper,0.8,40000,1,1,1,1,5258035542107267,317871.4958261709,317873.08517967665,39997.39242851616,39997.59241497833
Latency Sink,1,21,Latency Sink,0.8,40000,1,1,1,1,5258035588535452,3820629.8496361314,0.0,40079.058368041435,0.0
Source: Bids Source,1,22,Source: Bids Source,0.8,40000,1,1,1,1,5258045527203961,0,40335.6621288553,0,40045.17916562338
Mapper,1,22,Mapper,0.8,40000,1,1,1,1,5258045544389247,347959.71135800885,347961.44594845787,40119.017733330016,40119.21772793488
Latency Sink,1,22,Latency Sink,0.8,40000,1,1,1,1,5258045594135755,3947007.485039515,0.0,40230.9225398103,0.0
Source: Bids Source,1,23,Source: Bids Source,0.8,40000,1,1,1,1,5258055528626968,0,40750.80081839169,0,40043.76611209116
Mapper,1,23,Mapper,0.8,40000,1,1,1,1,5258055545970460,328471.8121570331,328473.458603397,39898.47335796838,39898.67334680747
Latency Sink,1,23,Latency Sink,0.8,40000,1,1,1,1,5258055598216413,3909282.1651231768,0.0,39919.602837136714,0.0
Source: Bids Source,1,24,Source: Bids Source,0.8,40000,1,1,1,1,5258065529577887,0,40370.83283223362,0,39901.72959376427
Mapper,1,24,Mapper,0.8,40000,1,1,1,1,5258065548554325,339711.32150239043,339713.01940954843,40013.697575454564,40013.89756744551
Latency Sink,1,24,Latency Sink,0.8,40000,1,1,1,1,5258065603169180,3699966.6216099164,0.0,40085.857109192955,0.0
Source: Bids Source,1,25,Source: Bids Source,0.8,40000,1,1,1,1,5258075530917837,0,40830.99184405055,0,39889.003991350495
Mapper,1,25,Mapper,0.8,40000,1,1,1,1,5258075551064484,318067.20993296104,318068.80608699215,39851.799403322366,39851.99939127547
Latency Sink,1,25,Latency Sink,0.8,40000,1,1,1,1,5258075606510920,3896835.8412044737,0.0,39924.84060190696,0.0
Source: Bids Source,1,26,Source: Bids Source,0.8,40000,1,1,1,1,5258085533275232,0,40885.66676500147,0,40107.10198915299
Mapper,1,26,Mapper,0.8,40000,1,1,1,1,5258085553381680,318328.3687826179,318329.95319557766,40177.87955188711,40178.07952888979
